Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
138835,INTELLECT DESIGN ARENA LIMITED,INTELLECT#,INTELLECT DESIGN ARENA LIMITED,Active,A ,5.00,INE306R01017,Computers - Software & Consulting,Equity,-,Information Technology,-,-
138962,Minda Corporation Limited,MINDACORP#,Minda Corporation Limited,Active,A ,2.00,INE842C01021,Auto Components & Equipments,Equity,-,Automobile and Auto Components,-,-
139957,Mahanagar Gas Limited,MGL#,Mahanagar Gas Limited,Active,A ,10.00,INE002S01010,LPG/CNG/PNG/LNG Supplier,Equity,-,"Oil, Gas & Consumable Fuels",-,-
140005,LTIMindtree Limited,LTIM#,LTIMindtree Limited,Active,A ,1.00,INE214T01019,Computers - Software & Consulting,Equity,-,Information Technology,-,-
140203,Sheela Foam Limited,SFL#,Sheela Foam Limited,Active,A ,5.00,INE916U01025,Furniture- Home Furnishing,Equity,-,Consumer Durables,-,-
140743,Godrej Agrovet Limited,GODREJAGRO#,Godrej Agrovet Limited,Active,A ,10.00,INE850D01014,Animal Feed,Equity,-,Fast Moving Consumer Goods,-,-
141019,H.G. Infra Engineering Limited,HGINFRA#,H.G. Infra Engineering Limited,Active,A ,10.00,INE926X01010,Civil Construction,Equity,-,Construction,-,-
141233,Lemon Tree Hotels Limited,LEMONTREE#,Lemon Tree Hotels Limited,Active,A ,10.00,INE970X01018,Hotels & Resorts,Equity,-,Consumer Services,-,-
141556,RITES Limited,RITES#,RITES Limited,Active,A ,10.00,INE320J01015,Civil Construction,Equity,-,Construction,-,-
141557,Fine Organic Industries Limited,FINEORG#,Fine Organic Industries Limited,Active,A ,5.00,INE686Y01026,Specialty Chemicals,Equity,-,Chemicals,-,-
141770,CreditAccess Grameen Ltd.,CREDITACC#,CreditAccess Grameen Ltd.,Active,A ,10.00,INE741K01010,Microfinance Institutions,Equity,-,Financial Services,-,-
141988,AAVAS Financiers Limited,AAVAS#,AAVAS Financiers Limited,Active,A ,10.00,INE216P01012,Housing Finance Company,Equity,-,Financial Services,-,-
142323,KPI Green Energy Limited,KPIGREEN#,KPI Green Energy Limited,Active,A ,5.00,INE542W01025,Power Generation,Equity,-,Power,-,-
142650,Metropolis Healthcare Limited,METROPOLIS#,Metropolis Healthcare Limited,Active,A ,2.00,INE112L01020,Healthcare Service Provider,Equity,-,Healthcare,-,-
142726,IndiaMART InterMESH Limited,INDIAMART#,IndiaMART InterMESH Limited,Active,A ,10.00,INE933S01016,Internet & Catalogue Retail,Equity,-,Consumer Services,-,-
142760,STERLING AND WILSON RENEWABLE ENERGY LIMITED,SWSOLAR#,STERLING AND WILSON RENEWABLE ENERGY LIMI,Active,A ,1.00,INE00M201021,Civil Construction,Equity,-,Construction,-,-
142773,IIFL CAPITAL SERVICES LIMITED,IIFLCAPS#,IIFL CAPITAL SERVICES LIMITED,Active,A ,2.00,INE489L01022,Stockbroking & Allied,Equity,-,Financial Services,-,-
143227,Happiest Minds Technologies Limited,HAPPSTMNDS#,Happiest Minds Technologies Limited,Active,A ,2.00,INE419U01012,Computers - Software & Consulting,Equity,-,Information Technology,-,-
143253,Mrs. Bectors Food Specialities Limited,BECTORFOOD#,Mrs. Bectors Food Specialities Limited,Active,A ,10.00,INE495P01012,Packaged Foods,Equity,-,Fast Moving Consumer Goods,-,-
143265,RailTel Corporation of India Limited,RAILTEL#,RailTel Corporation of India Limited,Active,A ,10.00,INE0DD101019,Other Telecom Services,Equity,-,Telecommunication,-,-
143271,Jubilant Ingrevia Limited,JUBLINGREA#,Jubilant Ingrevia Limited,Active,A ,1.00,INE0BY001018,Specialty Chemicals,Equity,-,Chemicals,-,-
143276,Craftsman Automation Limited,CRAFTSMAN#,Craftsman Automation Limited,Active,A ,5.00,INE00LO01017,Auto Components & Equipments,Equity,-,Automobile and Auto Components,-,-
143297,Inox Wind Energy Limited,IWEL#,Inox Wind Energy Limited,Active,B ,10.00,INE0FLR01028,Heavy Electrical Equipment,Equity,-,Capital Goods,-,-
143317,G R Infraprojects Limited,GRINFRA#,G R Infraprojects Limited,Active,A ,5.00,INE201P01022,Civil Construction,Equity,-,Construction,-,-
143322,ALIVUS LIFE SCIENCES LIMITED,ALIVUS#,ALIVUS LIFE SCIENCES LIMITED,Active,A ,2.00,INE03Q201024,Pharmaceuticals,Equity,-,Healthcare,-,-
143334,Nuvoco Vistas Corporation Limited,NUVOCO#,Nuvoco Vistas Corporation Limited,Active,A ,10.00,INE118D01016,Cement & Cement Products,Equity,-,Construction Materials,-,-
143335,Aptus Value Housing Finance India Limited,APTUS#,Aptus Value Housing Finance India Limited,Active,A ,2.00,INE852O01025,Housing Finance Company,Equity,-,Financial Services,-,-
143350,Vijaya Diagnostic Centre Limited,VIJAYA#,Vijaya Diagnostic Centre Limited,Active,A ,1.00,INE043W01024,Healthcare Service Provider,Equity,-,Healthcare,-,-
143397,Sapphire Foods India Limited,SAPPHIRE#,Sapphire Foods India Limited,Active,A ,2.00,INE806T01020,Restaurants,Equity,-,Consumer Services,-,-
143398,Latent View Analytics Limited,LATENTVIEW#,Latent View Analytics Limited,Active,A ,1.00,INE0I7C01011,Computers - Software & Consulting,Equity,-,Information Technology,-,-
143413,Tega Industries Limited,TEGA#,Tega Industries Limited,Active,A ,10.00,INE011K01018,Industrial Products,Equity,-,Capital Goods,-,-
143427,Medplus Health Services Limited,MEDPLUS#,Medplus Health Services Limited,Active,A ,2.00,INE804L01022,Pharmacy Retail,Equity,-,Consumer Services,-,-
143428,Data Patterns (India) Limited,DATAPATTNS#,Data Patterns (India) Limited,Active,A ,2.00,INE0IX101010,Aerospace & Defense,Equity,-,Capital Goods,-,-
143482,Eureka Forbes Limited,EUREKAFORB#,Eureka Forbes Limited,Active,A ,10.00,INE0KCE01017,Household Appliances,Equity,-,Consumer Durables,-,-
143527,Prudent Corporate Advisory Services Limited,PRUDENT#,Prudent Corporate Advisory Services Limited,Active,A ,5.00,INE00F201020,Financial Products Distributor,Equity,-,Financial Services,-,-
143534,Aether Industries Limited,AETHER#,Aether Industries Limited,Active,A ,10.00,INE0BWX01014,Specialty Chemicals,Equity,-,Chemicals,-,-
143573,Syrma SGS Technology Limited,SYRMA#,Syrma SGS Technology Limited,Active,A ,10.00,INE0DYJ01015,Industrial Products,Equity,-,Capital Goods,-,-
143768,NMDC Steel Limited,NSLNISP#,NMDC Steel Limited,Active,A ,10.00,INE0NNS01018,Iron & Steel,Equity,-,Metals & Mining,-,-
143957,REDTAPE Limited,REDTAPE#,REDTAPE Limited,Active,A ,2.00,INE0LXT01019,Footwear,Equity,-,Consumer Durables,-,-
143980,Jupiter Life Line Hospitals Limited,JLHL#,Jupiter Life Line Hospitals Limited,Active,A ,10.00,INE682M01012,Hospital,Equity,-,Healthcare,-,-
144046,INOX India Limited,INOXINDIA#,INOX India Limited,Active,A ,2.00,INE616N01034,Other Industrial Products,Equity,-,Capital Goods,-,-
144061,Azad Engineering Limited,AZAD#,Azad Engineering Limited,Active,A ,2.00,INE02IJ01035,Heavy Electrical Equipment,Equity,-,Capital Goods,-,-
144172,Indegene Limited,INDGN#,Indegene Limited,Active,B ,2.00,INE065X01017,Healthcare Research- Analytics & Technology,Equity,-,Healthcare,-,-
144203,Allied Blenders and Distillers Limited,ABDL#,Allied Blenders and Distillers Limited,Active,B ,2.00,INE552Z01027,Breweries & Distilleries,Equity,-,Fast Moving Consumer Goods,-,-
144222,Akums Drugs and Pharmaceuticals Limited,AKUMS#,Akums Drugs and Pharmaceuticals Limited,Active,B ,2.00,INE09XN01023,Pharmaceuticals,Equity,-,Healthcare,-,-
144240,Raymond Lifestyle Limited,RAYMONDLSL#,Raymond Lifestyle Limited,Active,B ,2.00,INE02ID01020,Garments & Apparels,Equity,-,Textiles,-,-
144250,Sanofi Consumer Healthcare India Limited,SANOFICONR#,Sanofi Consumer Healthcare India Limited,Active,B ,10.00,INE0UOS01011,Pharmaceuticals,Equity,-,Healthcare,-,-
144283,ACME Solar Holdings Limited,ACMESOLAR#,ACME Solar Holdings Limited,Active,B ,2.00,INE622W01025,Holding Company,Equity,-,Financial Services,-,-
